,dates,Blue,Green,Red,NIR,SWIR1,SWIR2,Thermal,qa
362,736194,232,557,425,3034,1557,732,3033,0
363,736210,227,543,411,3147,1526,668,3047,0
364,736226,7356,6833,6841,6672,2160,1146,2779,4
365,736242,4443,4230,4046,4084,1171,1274,1500,4
366,736258,8482,7714,7758,7913,2975,1598,2738,0
367,736274,167,407,258,2896,1331,529,3036,0
368,736290,218,567,440,2576,1079,563,2777,0
369,736306,190,398,284,2901,1392,566,3032,0
370,736322,185,394,287,2689,1385,583,3058,0
371,736338,1086,1408,1427,3508,2683,1622,3000,0
372,736354,1054,1531,1586,2884,2494,2240,2937,4
373,736370,246,463,382,2516,1669,800,3045,0
374,736386,233,512,442,2972,1912,894,3032,0
375,736402,-92,345,339,1475,1054,710,2990,2
376,736418,258,479,405,2475,1665,800,3064,0
377,736434,244,496,390,2677,1631,776,3065,0
378,736450,198,398,295,2091,1174,511,3042,0
379,736466,7364,6916,6758,6499,1355,1652,1500,4
380,736482,401,686,516,3702,1961,950,3017,0
381,736498,219,471,328,2896,1520,661,3022,0
382,736514,230,543,414,2973,1552,683,3073,0
383,736530,250,562,466,2834,1557,733,3062,0
384,736546,7152,6723,6549,6497,3106,2633,2294,4
385,736562,2196,2299,2307,3727,2774,2270,2923,0
386,736578,8213,8006,8087,7837,4305,2996,2876,4
387,736594,1082,1353,1380,2499,1361,1056,1500,4
388,736610,723,1403,1327,2882,1497,1224,1500,4
389,736626,183,457,272,3117,1331,552,2996,0
390,736642,467,1019,1017,3121,1912,1399,2500,4
391,736658,130,339,201,2502,1002,366,3016,0
392,736674,163,360,229,2953,1292,513,3037,0
393,736690,175,401,270,2840,1375,575,3030,0
394,736706,1023,1438,1407,2959,2061,1608,3001,0
395,736722,211,426,319,2926,1465,612,3039,0
396,736738,207,419,313,2659,1462,657,3029,0
397,736754,221,426,356,2635,1536,704,3026,0
398,736770,1892,2569,2672,3908,3388,2743,2950,4
399,736786,119,347,234,1959,1153,574,3004,0
400,736802,318,664,587,2974,1901,947,3049,0
401,736818,4840,4824,4842,5562,4429,3263,2980,0
402,736834,3512,3501,3393,4152,2095,1719,1500,4
403,736850,205,556,368,3522,1651,742,3032,0
404,736866,630,1403,1230,2841,1765,1565,2653,4
405,736882,207,518,401,3021,1516,643,3061,0
406,736898,12001,11663,11839,11703,6117,4096,2707,4
407,736914,258,645,555,2706,1588,739,3063,0
408,736930,212,508,385,2982,1581,652,3034,0
409,736946,214,497,353,3042,1672,714,3076,0
410,736962,191,459,308,2808,1172,497,3023,2
411,736978,4135,4149,4075,5046,3735,2744,2588,4
412,736994,58,398,235,3342,1478,572,3000,2
413,737010,164,390,259,2987,1317,516,3053,0
414,737026,64,217,86,1248,418,155,3039,0
415,737042,582,1120,1042,2585,2133,1796,2872,4
416,737058,165,374,262,2712,1277,516,2998,0
417,737074,190,446,325,3025,1543,663,3005,0
418,737090,195,398,309,2548,1375,620,3031,0
